1,NASDAQ:MSFT,Microsoft,67.53,https://www.google.com/finance?q=NASDAQ%3AMSFT&ei=TYv-WMClMpHumAGN5qnADQ,Microsoft Corporation is a technology compa
2,NASDAQ:INTC,Intel,36.75,https://www.google.com/finance?q=intel&ei=Bon-WMjJM4XTeY6PrMAN,Intel Corporation is engaged in designing and manufacturing products and technologies such as the cloud. The Company s segments are Client Computing Group (CCG) Data Center Group (DCG) Internet of Things Group (IOTG) Non-Volatile Memory Solutions Group (NSG) Intel Security Group (ISecG) Programmable Solutions Group (PSG) All Other and New Technology Group (NTG).
3,NASDAQ:EBAY,ebay,32.05,https://www.google.com/finance?q=NASDAQ%3AEBAY&ei=Yon-WMCvBda8e_-XnJAN,eBay Inc. (eBay) is a commerce company which operates through its Marketplace StubHub and Classifieds platforms. The Company connects buyers and sellers around the world. Its platforms enable sellers around the world to organize and offer their inventory for sale and buyers to find and purchase it.
4,NASDAQ:AAPL,Apple,143.64,https://www.google.com/finance?q=NASDAQ%3AAAPL&ei=yYn-WNmeCMuaeYS2q_AE,Apple Inc. (Apple) designs manufactures and markets mobile communication and media devices personal computers and portable digital music players and a variety of related software services peripherals networking solutions and third-party digital content and applications.
5,NASDAQ:WFM,Whole Foods,36.46,https://www.google.com/finance?q=NASDAQ%3AWFM&ei=IYr-WPj4HsmZmAHHvLzYCg,Whole Foods Market Inc. is engaged in the business of natural and organic foods supermarket. The Company operates approximately 456 stores in the United States Canada and the United Kingdom.
6,NASDAQ:CSCO,CISCO,33.29,https://www.google.com/finance?q=NASDAQ%3ACSCO&ei=Lor-WIiVBtGTeYD7rqAI,Cisco Systems Inc. designs and sells a range of products provides services and delivers integrated solutions to develop and connect networks around the world. The Company operates through three geographic segments: Americas; Europe the Middle East and Africa (EMEA) and Asia Pacific Japan and China (APJC).Ã’
7,NASDAQ:FB,Facebook,145.47,https://www.google.com/finance?q=NASDAQ%3AFB&ei=Vor-WImeA4S0mQG4uriAAw,Facebook Inc. is focused on building products that enable people to connect and share through mobile devices personal computers and other surfaces. The Company s products include Facebook Instagram Messenger WhatsApp and Oculus.
8,NASDAQ:GRPN,Groupon,3.89,https://www.google.com/finance?q=NASDAQ%3AGRPN&ei=c4r-WIipKZPAmAG0zp2oDQ,Groupon Inc. operates online local commerce marketplaces around the world that connect merchants to consumers by offering goods and services at a discount. The Company operates through three segments: North America which represents the United States and Canada; EMEA which consists of Europe and the Middle East and Africa and the remainder of its international operations (Rest of World).
9,NASDAQ:SBUX,Starbucks,61.11,https://www.google.com/finance?q=NASDAQ%3ASBUX&ei=xor-WNGLK8qSmgG64KGQBw,Starbucks Corporation (Starbucks) is a roaster marketer and retailer of coffee. As of October 2 2016 the Company operated in 75 countries. The Company operates through four segments: Americas which is inclusive of the United States Canada and Latin America; China/Asia Pacific (CAP); Europe Middle East and Africa (EMEA) and Channel Development.
10,NASDAQ:AMZN,Amazon,907.41,https://www.google.com/finance?q=NASDAQ%3AAMZN&ei=74r-WMj2JM25mQHKmZ_QBg,Amazon.com Inc. offers a range of products and services through its Websites. The Company operates through three segments: North America International and Amazon Web Services (AWS). The North America segment consists of retail sales of consumer products (including from sellers) and subscriptions through North America-focused Websites such as www.amazon.com www.amazon.ca and www.amazon.com.mx.
11,NASDAQ:GOOGL,Google,878.93,https://www.google.com/finance?q=Google&ei=DYv-WLGcG8GbmAGPwpqIDw,Alphabet Inc. is a holding company. The Company s businesses include Google Inc. (Google) and its Internet products such as Access Calico CapitalG GV Nest Verily Waymo and X. The Company s segments include Google and Other Bets.
12,NYSE:LNKD,LinkedIn,195.96,https://www.google.com/finance?q=NYSE%3ALNKD&ei=L4v-WMH_FODret6blVA,LinkedIn Corporation (LinkedIn) is a professional network on the Internet with approximately 400 million members in over 200 countries and territories. The Company provides the majority of its products at no cost to its members. It offers approximately three product lines: Talent Solutions which includes Hiring and Learning and Development; Marketing Solutions and Premium Subscriptions.
13,NASDAQ:NVDA,NVIDIA,102.95,https://www.google.com/finance?q=NASDAQ%3ANVDA&ei=fIv-WJjUC825mQHKmZ_QBg,Nvidia Corporation focuses on personal computer (PC) graphics graphics processing unit (GPU) and also on artificial intelligence (AI). The Company s operates through two segments: GPU and Tegra Processor. The Company s GPU product brands are aimed at specialized markets including GeForce for gamers; Quadro for designers; Tesla and DGX for AI data scientists and big data researchers; and GRID for cloud-based visual computing users.
14,NASDAQ:BIDU,Baidu,180.03,https://www.google.com/finance?q=Baidu&ei=i4v-WPj-HMuaeYS2q_AE,Baidu Inc. is a Chinese language Internet search provider. The Company offers a Chinese language search platform on its Baidu.com Website that enables users to find information online including Webpages news images documents and multimedia files through links provided on its Website. In addition to serving individual Internet search users the Company provides a platform for businesses to reach customers.
15,NASDAQ:WIFI,Boingo,14,https://www.google.com/finance?q=NASDAQ%3AWIFI&ei=qIv-WNH_LsmZmAHHvLzYCg,Boingo Wireless Inc. is a provider of commercial mobile wireless fidelity (Wi-Fi) Internet solutions and indoor direct-attached storage (DAS) services. The Company operates as a service provider of wireless connectivity solutions across its managed and operated network and aggregated network for mobile devices such as laptops smartphones tablets and other wireless-enabled consumer devices.